Phrase,Detected_metaphors
When on earth they fade and perish.,1
A larger rock then heaving from the plain.,1
The classroom was a zoo.,1
The alligator's teeth are white daggers.,1
She is a peacock.,1
My teacher is a dragon.,1
Mary's eyes were fireflies.,1
The computers at school are old dinosaurs.,1
He is a night owl.,1
Maria is a chicken.,1
The wind was a howling wolf.,1
"The ballerina was a swan, gliding across the stage.",1
Jamal was a pig at dinner.,1
The kids were monkeys on the jungle gym.,1
My dad is a road hog.,1
The stormy ocean was a raging bull.,1
The thunder was a mighty lion.,1
John's suggestion was just a Band-Aid for the problem.,1
The cast on his broken leg was a plaster shackle.,1
Laughter is the music of the soul.,1
America is a melting pot.,1
Her lovely voice was music to his ears.,1
The world is a stage.,1
My kid's room is a disaster area.,1
Life is a rollercoaster.,1
Their home was a prison.,1
His heart is a cold iron.,1
"At five o'clock, the interstate is always a parking lot.",1
Books are the keys to your imagination.,1
Her angry words were bullets to him.,1
Your brain is a computer.,1
The car was a furnace in the sun.,1
"Thank you so much, you are an angel.",1
My baseball coach is an ogre.,1
He is a walking dictionary.,1
My big brother is a couch potato.,1
The teenager's stomach was a bottomless pit.,1
I am so excited. My pulse is a race car.,1
Toddlers are rug rats.,1
"The light flows into the bowl of the midnight sky, violet, amber and rose.",1
Men court not death when there are sweets still left in life to taste.,1
"In capitalism, money is the life blood of society but charity is the soul.",1
"Whose world is but the trembling of a flare,  And heaven but as the highway for a shell.",1
"Fame is the fragrance of heroic deeds,  Of flowers of chivalry and not of weeds!",1
"So I sit spinning still, round this decaying form, the fine threads of rare and subtle thought.",1
And swish of rope and ring of chain.,1
Are music to men who sail the main.,1
"Still sits the school-house by the road, a ragged beggar sunning.",1
The child was our lone prayer to an empty sky.,1
"Blind fools of fate and slaves of circumstance, Life is a fiddler, and we all must dance.",1
Grind the gentle spirit of our meek reviews into a powdery foam of salt abuse.,1
Laugh a drink from the deep blue cup of sky.,1
Think now: history has many cunning passages and contrived corridors.,1
"You are now in London, that great sea whose ebb and flow at once is deaf and loud.",1
His fine wit makes such a wound that the knife is lost in it.,1
Waves of spam emails inundated his inbox.,1
In my heart’s temple I suspend to thee these votive wreaths of withered memory.,1
He cast a net of words in garish colours wrought to catch the idle buzzers of the day.,1
This job is the cancer of my dreams and aspirations.,1
"This song shall be thy rose, soft, fragrant, and with no thorn left to wound thy bosom.",1
"There, one whose voice was venomed melody.",1
A sweetness seems to last amid the dregs of past sorrows.,1
So in this dimmer room which we call life.,1
"Life is the night with its dream-visions teeming, Death is the waking at day.",1
Then the lips relax their tension.,1
and the pipe begins to slide.,1
Till in little clouds of ashes.,1
it falls softly at his side.,1
"The olden days: when thy smile to me was wine, golden wine thy word of praise.",1
Thy tones are silver melted into sound.,1
"Under us the brown earth, Ancient and strong, The best bed for wanderers.",1
"Love is a guest that comes, unbidden, But, having come, asserts his right.",1
My House of Life is weather-stained with years.,1
"See the sun, far off, a shriveled orange in a sky gone black.",1
"Three pines strained darkly, runners in a race unseen by any.",1
"But the rare herb, Forgetfulness, it hides away from me.",1
The field of cornflower yellow is a scarf at the neck of the copper sunburned woman.,1
Life: a lighted window and a closed door.,1
Some days my thoughts are just cocoons hanging from dripping branches in the grey woods of my mind.,1
Men and women pass in the street glad of the shining sapphire weather.,1
The swan existing is a song with an accompaniment.,1
"At night the lake is a wide silence, without imagination.",1
"Once you know all the elements, it's not difficult to pull together a sentence.",0
The cherry-trees are seas of bloom and soft perfume and sweet perfume.,1
"The great gold apples of light hang from the street’s long bough, dripping their light on the faces that drift below, on the faces that drift and blow.",1
From its blue vase the rose of evening drops.,1
"When in the mines of dark and silent thought, Sometimes I delve and find strange fancies there.",1
The twigs were set beneath a veil of willows.,1
"He clutched and hacked at ropes, at rags of sail, Thinking that comfort was a fairy tale.",1
